title,pubDate,guid,link,description
Gun Sellers Stoke Fears to Boost Weapon Sales,"Sat, 18 Jun 2022 09:00:19 +0000",https://www.nytimes.com/2022/06/18/us/firearm-gun-sales.html,https://www.nytimes.com/2022/06/18/us/firearm-gun-sales.html,"The number of firearms in the U.S. is outpacing the country’s population, as an emboldened gun industry and its allies target buyers with rhetoric of fear, machismo and defiance."
Uvalde Officer Passed Up Shot at Gunman for Fear of Hitting Children,"Fri, 17 Jun 2022 22:01:17 +0000",https://www.nytimes.com/2022/06/17/us/uvalde-shooting-gunman-police.html,https://www.nytimes.com/2022/06/17/us/uvalde-shooting-gunman-police.html,"A police officer had a chance to shoot the gunman before he entered a school, according to a chief deputy sheriff. The officer declined to take the shot, fearing injuries to others."
"Ukraine’s Death Workers: ‘If You Take It All Close to Heart, You Go Mad’","Sat, 18 Jun 2022 05:28:46 +0000",https://www.nytimes.com/2022/06/18/world/europe/ukraine-war-cemeteries-morgues.html,https://www.nytimes.com/2022/06/18/world/europe/ukraine-war-cemeteries-morgues.html,The people toiling in Ukraine’s cemeteries and morgues bear a silent burden as they handle the war’s growing toll.
French Nuclear Power Crisis Frustrates Europe’s Push to Quit Russian Energy,"Sat, 18 Jun 2022 09:09:21 +0000",https://www.nytimes.com/2022/06/18/business/france-nuclear-power-russia.html,https://www.nytimes.com/2022/06/18/business/france-nuclear-power-russia.html,"France typically exports electricity, but now it risks blackouts and a need for imported power because of problems at the state nuclear operator."
A Defiant Putin Says Russia Will Flourish Without the West,"Fri, 17 Jun 2022 19:56:51 +0000",https://www.nytimes.com/2022/06/17/world/europe/putin-russia-economy-ukraine.html,https://www.nytimes.com/2022/06/17/world/europe/putin-russia-economy-ukraine.html,"In a speech at an economic forum, he called the U.S. a fading power and said sanctions on Russia, not the Ukraine war, are hurting Western economies."
"Amid Jan. 6 Revelations, Election Lies Still Dominate the G.O.P.","Sat, 18 Jun 2022 00:55:30 +0000",https://www.nytimes.com/2022/06/17/us/politics/election-trump-republicans-jan-6.html,https://www.nytimes.com/2022/06/17/us/politics/election-trump-republicans-jan-6.html,"The hearings have demolished the myth of a stolen presidential election, but with the 2022 primary season in full tilt, the revelations have not loosened the grip of the lie on Republicans."
What Watergate Highlights About the Jan. 6 Hearings,"Sat, 18 Jun 2022 00:11:31 +0000",https://www.nytimes.com/2022/06/17/us/watergate-jan-6.html,https://www.nytimes.com/2022/06/17/us/watergate-jan-6.html,"On the anniversary of the June 17, 1972, break-in, alumni of the hearings gather for a reunion. They had it easier than the Jan. 6 committee, they say."
Trump Attacks Mike Pence for Not Rejecting Electoral Votes in 2020,"Fri, 17 Jun 2022 22:56:35 +0000",https://www.nytimes.com/2022/06/17/us/politics/donald-trump-pence-jan-6.html,https://www.nytimes.com/2022/06/17/us/politics/donald-trump-pence-jan-6.html,"In a speech, Donald J. Trump was undeterred by the Jan. 6 House committee’s account of how his rioting supporters menaced the vice president, and the panel’s dismantling of many of his election lies."
The Biggest Surprises of the Jan. 6 Hearings So Far,"Sat, 18 Jun 2022 01:05:59 +0000",https://www.nytimes.com/2022/06/17/us/politics/jan-6-hearings-trump.html,https://www.nytimes.com/2022/06/17/us/politics/jan-6-hearings-trump.html,Maggie Haberman breaks down the House select committee’s first two weeks of public testimony.
How Many N.Y. Democrats Does It Take to Fill a House Seat? Try 15.,"Sat, 18 Jun 2022 09:00:18 +0000",https://www.nytimes.com/2022/06/18/nyregion/de-blasio-mondaire-jones-house-race.html,https://www.nytimes.com/2022/06/18/nyregion/de-blasio-mondaire-jones-house-race.html,"A congressman, an ex-congresswoman, an ex-mayor, a Trump prosecutor and several state and city officials are eyeing an open congressional seat in New York City."
"Uterine Cancer Is on the Rise, Especially Among Black Women","Sat, 18 Jun 2022 01:27:43 +0000",https://www.nytimes.com/2022/06/17/health/uterine-cancer-black-women.html,https://www.nytimes.com/2022/06/17/health/uterine-cancer-black-women.html,"The cancer eventually will become the third most common type among women, experts say. The mortality rate is highest among Black Americans."
"Bitcoin Plummets Below $20,000 for First Time Since November 2020","Sat, 18 Jun 2022 08:44:56 +0000",https://www.nytimes.com/2022/06/18/technology/bitcoin-20000.html,https://www.nytimes.com/2022/06/18/technology/bitcoin-20000.html,Its fall was accelerated in recent weeks by the collapse of two major cryptocurrency projects while sowing doubts about the stability of the overall cryptocurrency market.
How to Think About E.S.G. Investing in a Falling Market,"Sat, 18 Jun 2022 07:00:11 +0000",https://www.nytimes.com/2022/06/18/your-money/esg-investing-stocks-elon-musk.html,https://www.nytimes.com/2022/06/18/your-money/esg-investing-stocks-elon-musk.html,"Mr. Musk trashed E.S.G. investing. The S.E.C. is investigating Goldman Sachs’s move into the sector. In a falling market, what should investors consider?"
Wall Street Has Its Worst Week Since March 2020,"Fri, 17 Jun 2022 21:59:17 +0000",https://www.nytimes.com/2022/06/17/business/stock-market.html,https://www.nytimes.com/2022/06/17/business/stock-market.html,The selling was fueled by persistently high inflation and fears that the Fed’s efforts to tame it with higher interest rates will choke growth.
A Better Way to Measure Immunity in Children,"Fri, 17 Jun 2022 13:32:41 +0000",https://www.nytimes.com/2022/06/17/health/covid-immunity-children.html,https://www.nytimes.com/2022/06/17/health/covid-immunity-children.html,"Some scientists believe that a clearer picture of Covid vaccine efficacy could have emerged sooner if investigators had tracked certain immune cells, not just antibodies."
‘Downton Shabby’: A Commoner Takes on an English Castle,"Sat, 18 Jun 2022 07:00:13 +0000",https://www.nytimes.com/2022/06/18/realestate/downton-shabby-english-castle.html,https://www.nytimes.com/2022/06/18/realestate/downton-shabby-english-castle.html,"A Los Angeles actor and producer moved across the pond to restore his crumbling ancestral home. But fixing up a 50,000-square-foot manor isn’t easy."
Ginni Thomas Has a Lot of Explaining to Do,"Sat, 18 Jun 2022 00:37:37 +0000",https://www.nytimes.com/2022/06/17/opinion/ginni-thomas-john-eastman.html,https://www.nytimes.com/2022/06/17/opinion/ginni-thomas-john-eastman.html,"If the tables were turned, Republicans would not hesitate to use every argument and every tool at their disposal."
Pregnancy Can Affect the Body Forever. Have Abortion Foes Reckoned With That?,"Fri, 17 Jun 2022 20:18:57 +0000",https://www.nytimes.com/2022/06/15/opinion/roe-pregnancy.html,https://www.nytimes.com/2022/06/15/opinion/roe-pregnancy.html,"Yes, if women are required to go through the ultimate stress test, their liberty is curtailed."
The Fed’s Newfound Aggressiveness Is Concerning,"Fri, 17 Jun 2022 19:00:05 +0000",https://www.nytimes.com/2022/06/17/opinion/inflation-interest-rate-recession.html,https://www.nytimes.com/2022/06/17/opinion/inflation-interest-rate-recession.html,Its fight against inflation could very well cause a recession.
