toi_description_score,toi_title_score,bbc_description_score,bbc_title_score,ny_description_score,ny_title_score
-0.8555,-0.9531,-0.5423,-0.7845,0.7691,0
0,0.34,0.4215,0,0.5267,0
0.2023,-0.296,-0.4767,-0.875,0.1531,-0.25
0.8555,-0.4019,0,-0.4019,0,-0.2263
0.6597,0,-0.765,-0.7783,0,-0.1027
0.4215,0.296,-0.8706,-0.872,-0.802,-0.0516
0,0.2023,0.128,-0.1027,-0.34,-0.4019
0,0.0772,0.25,-0.7184,-0.6222,-0.7269
-0.8271,-0.7178,0.2732,0,0.5859,0.4404
0,0,0,0.443,-0.5719,-0.34
0,0,0,-0.4215,0,0.0772
-0.5994,-0.5994,0.2263,-0.34,0.2263,0
-0.3182,0,0,0,-0.5346,-0.3612
-0.3818,0,-0.25,0,0.4939,0.5719
0.0772,0,-0.5994,0.0772,0.3182,-0.34
0.1779,0,0,-0.6249,0,0.3818
-0.872,-0.6705,0.25,-0.2411,0.8316,0
0.3612,0,0,0,-0.1027,0
