title,pubDate,guid,link,description
Live: Late singer KK given gun salute at Rabindra Sadan in Kolkata,2022-06-01T00:06:22+05:30,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kk-passes-away-live-updates-the-singer-passed-away-during-a-live-concert-in-kolkata/liveblog/91926319.cms,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kk-passes-away-live-updates-the-singer-passed-away-during-a-live-concert-in-kolkata/liveblog/91926319.cms,"Singer KK fell ill while performing at Nazrul Mancha, Kolkata, for Gurudas College's fest. He returned to his hotel in Esplanade and collapsed after which he was rushed to Calcutta Medical Research Institute (CMRI) at around 10:30 pm, where he was declared dead. He was 53. Condolences have been pouring in from the film and music industry. PM Narendra Modi too shared a heartfelt condolence on Twitter. One case of unnatural death has been registered. His post-mortem is likely to take place today after getting his family's consent. His family is expected to take his mortal remains back to Mumbai. The ace musician is survived by his wife and two kids."
"National Herald case: ED summons Sonia, Rahul for questioning",2022-06-01T13:43:26+05:30,https://timesofindia.indiatimes.com/india/ed-summons-sonia-rahul-gandhi-in-national-herald-case/articleshow/91937345.cms,https://timesofindia.indiatimes.com/india/ed-summons-sonia-rahul-gandhi-in-national-herald-case/articleshow/91937345.cms,The enforcement directorate (ED) on Wednesday summoned Congress president Sonia Gandhi and party leader Rahul Gandhi in connection with the National Herald money laundering case. The case was registered recently to probe alleged financial irregularities in the party-promoted Young Indian that owns the National Herald newspaper.
No one remembers bilateral T20 series: Ravi Shastri,2022-06-01T15:00:01+05:30,https://timesofindia.indiatimes.com/sports/cricket/south-africa-in-india/no-one-remembers-bilateral-t20-series-play-shortest-format-in-just-world-cup-ravi-shastri/articleshow/91939160.cms,https://timesofindia.indiatimes.com/sports/cricket/south-africa-in-india/no-one-remembers-bilateral-t20-series-play-shortest-format-in-just-world-cup-ravi-shastri/articleshow/91939160.cms,"Ravi Shastri, one of the most successful India coaches, feels that franchise cricket together with a biennial T20 World Cup is best way forward when it comes to shortest format, considering fans' appetite for it. Shastri's comments have come, days before India's five-match T20 series against South Africa."
"Shot 7 times by mafia, PCS officer Rinkoo Rahee cracks UPSC",2022-06-01T06:17:00+05:30,https://timesofindia.indiatimes.com/city/meerut/shot-7-times-by-mafia-pcs-officer-cracks-upsc/articleshow/91928899.cms,https://timesofindia.indiatimes.com/city/meerut/shot-7-times-by-mafia-pcs-officer-cracks-upsc/articleshow/91928899.cms,"Rinkoo Rahee's resolve to fight corruption is the ""stuff of legend"", those who know him say. A 2007-batch provincial civil service (PCS) officer, he incurred the wrath of the powerful mafia behind a Rs 100 crore scholarship scam that he unearthed when he was just 26. In March 2009, seven bullets were pumped into him."
TOI Poll: Which young players impressed you the most in IPL 2022?,2022-06-01T13:54:29+05:30,https://timesofindia.indiatimes.com/toi-poll-which-young-players-impressed-you-the-most-in-ipl-2022/polls/91937269.cms,https://timesofindia.indiatimes.com/toi-poll-which-young-players-impressed-you-the-most-in-ipl-2022/polls/91937269.cms,
"Amid Gyanvapi row, plea for puja in another Kashi mosque",2022-06-01T03:00:40+05:30,https://timesofindia.indiatimes.com/city/varanasi/amid-gyanvapi-row-plea-for-puja-in-another-kashi-mosque/articleshow/91927483.cms,https://timesofindia.indiatimes.com/city/varanasi/amid-gyanvapi-row-plea-for-puja-in-another-kashi-mosque/articleshow/91927483.cms,"Even as the Gyanvapi case is being heard by the Varanasi district court, a petition for seeking permission for performing puja in another structure in the city was filed on Tuesday with petitioners asking for worship at Bindu Madhav temple inside Beni Madhav-ka-Dharahara, alleging that it was destroyed by Mughal emperor Aurangzeb and converted into a mosque. The structure is an ASI-protected monument."
Things you can do if you've lost your Android phone,2022-06-01T08:22:04+05:30,https://www.gadgetsnow.com/slideshows/things-to-do-if-your-android-smartphone-is-lost-stolen-or-misplaced/photolist/91929801.cms,https://www.gadgetsnow.com/slideshows/things-to-do-if-your-android-smartphone-is-lost-stolen-or-misplaced/photolist/91929801.cms,
GST collection in May over Rs 1.40L cr; 15% lower than April,2022-06-01T14:09:00+05:30,https://timesofindia.indiatimes.com/business/india-business/gst-collection-in-may-at-over-rs-1-40-lakh-crore-15-lower-than-last-month/articleshow/91937995.cms,https://timesofindia.indiatimes.com/business/india-business/gst-collection-in-may-at-over-rs-1-40-lakh-crore-15-lower-than-last-month/articleshow/91937995.cms,"The goods and services tax (GST) collection in May came in at Rs 1,40,885 crore, the finance ministry said in an official release on Wednesday. GST revenues for May is 15 per cent lower than the record high collection of Rs 1.68 lakh crore in April. However, it is 44 per cent higher than the GST revenues of Rs 97,821 crore collected in May 2021."
Chrome to Edge: What data you can import and how,2022-06-01T08:24:02+05:30,http://www.gadgetsnow.com/featured/moving-from-google-chrome-to-microsoft-edge-what-data-you-can-import-and-how/articleshow/91930089.cms,http://www.gadgetsnow.com/featured/moving-from-google-chrome-to-microsoft-edge-what-data-you-can-import-and-how/articleshow/91930089.cms,
"Parties, interviews never mattered to KK: Rahul Vaidya ",2022-06-01T15:00:00+05:30,https://timesofindia.indiatimes.com/tv/news/hindi/rahul-vaidya-on-kk-you-would-never-see-him-at-a-party-or-giving-interviews-all-these-things-never-mattered-to-him/articleshow/91938189.cms,https://timesofindia.indiatimes.com/tv/news/hindi/rahul-vaidya-on-kk-you-would-never-see-him-at-a-party-or-giving-interviews-all-these-things-never-mattered-to-him/articleshow/91938189.cms,"Rahul Vaidya is shocked and still can't believe that singer KK is no more. KK (Krishnakumar Kunnath) passed away in Kolkata on Tuesday night hours after performing at a concert there. We spoke to Rahul about his interaction with KK over the years. He shared, ""I met him a multiple times during concerts in Goa, Thailand and other places. I have had the good fortune of performing with him on several occasions. I last met him 4 to 5 years ago. He was an excellent singer and his songs were a favourite among the college and corporate crowds. I have also grown up loving his songs during my college days. People who saw him perform last night must have be shocked to know that he passed away a few hours later."""
"Apple Safari in 'billion club', joins Microsoft, Google",2022-06-01T13:58:45+05:30,https://www.gadgetsnow.com/tech-news/more-than-a-billion-people-use-safari-but-apple-still-behind-google/articleshow/91936707.cms,https://www.gadgetsnow.com/tech-news/more-than-a-billion-people-use-safari-but-apple-still-behind-google/articleshow/91936707.cms,
Moose Wala's pet dogs refusing to eat since singer's demise,2022-06-01T08:26:59+05:30,https://timesofindia.indiatimes.com/city/chandigarh/mansa-sidhu-moose-walas-pet-dogs-refuse-food/articleshow/91930443.cms,https://timesofindia.indiatimes.com/city/chandigarh/mansa-sidhu-moose-walas-pet-dogs-refuse-food/articleshow/91930443.cms," Sidhu Moose Wala's pet dogs, Shera and Baghera, have been refusing food since Sunday evening in the absence of their master. They were regular companions of Moose Wala whenever he was at home. Now that he is no more, the pets have withdrawn to a corner of the palatial house."
